k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 6, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 7, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 4, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -16, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 0, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 1, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 2, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 3, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 4, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 5, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 6, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 7, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 0, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 1, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 2, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 3, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 4, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 5, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 6, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 7, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 5, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -32, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 0, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 1, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 2, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 3, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 4, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 5, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 6, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 7, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 0, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 1, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 2, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 3, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 4, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 5, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 6, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -7, a31 = -8, a32 = -8, a33 = 7, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 6, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -6, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -64, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -8, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -7, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -6, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -5, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -4, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -3, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -2, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = -1, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 0, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 1, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 2, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 3, b12 = -8, b13 = -128, b23 = -8
k1 = 2, k2 = 3, k3 = 7, a11 = -8, a12 = -8, a13 = -8, a21 = -8, a22 = -8, a23 = -8, a31 = -8, a32 = -8, a33 = 4, b12 = -8, b13 = -128, b23 = -8
